"Package","Production","Pilot"
"7zip.7zip","22.01","22.01"
"Citrix.Workspace","22.12.0.48","22.12.0.48"
"Microsoft.Edge","110.0.1587.69","110.0.1587.69"
"Mozilla.Firefox2","110.0.1","110.0.1"
"Microsoft.VCRedist.2022.arm64","14.30.30704.0","14.30.30704.0"
"Google.Chrome","131.0.6778.86","131.0.6778.86"
